ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
685355,758708,SFR,4G,1800,LTE 1800,En service,45.658055555555556,3.723055555555556,RESSONCLES,63454,2.1189992589946227
685356,758708,SFR,4G,2100,LTE 2100,En service,45.658055555555556,3.723055555555556,RESSONCLES,63454,2.1189992589946227
685357,758708,SFR,4G,800,LTE 800,En service,45.658055555555556,3.723055555555556,RESSONCLES,63454,2.1189992589946227
685358,758708,SFR,3G,900,UMTS 900,En service,45.658055555555556,3.723055555555556,RESSONCLES,63454,2.1189992589946227
671778,656181,SFR,4G,800,LTE 800,En service,45.62027777777778,3.761111111111111,La Halle,63179,2.9202319166364457
671779,656181,SFR,3G,900,UMTS 900,En service,45.62027777777778,3.761111111111111,La Halle,63179,2.9202319166364457
692003,807773,SFR,2G,900,GSM 900,En service,45.669444444444444,3.6327777777777777,Girodon,63355,0.4985991555700203
692004,807773,SFR,4G,800,LTE 800,En service,45.669444444444444,3.6327777777777777,Girodon,63355,0.4985991555700203
692005,807773,SFR,3G,2100,UMTS 2100,En service,45.669444444444444,3.6327777777777777,Girodon,63355,0.4985991555700203
692006,807773,SFR,3G,900,UMTS 900,En service,45.669444444444444,3.6327777777777777,Girodon,63355,0.4985991555700203
694025,821999,SFR,2G,900,GSM 900,En service,45.526944444444446,3.8444444444444446,les Pradeaux,63173,8.67394302517279
694026,821999,SFR,4G,700,LTE 700,En service,45.526944444444446,3.8444444444444446,les Pradeaux,63173,8.67394302517279
694027,821999,SFR,4G,800,LTE 800,En service,45.526944444444446,3.8444444444444446,les Pradeaux,63173,8.67394302517279
694028,821999,SFR,3G,900,UMTS 900,En service,45.526944444444446,3.8444444444444446,les Pradeaux,63173,8.67394302517279
694036,822098,SFR,2G,900,GSM 900,En service,45.650277777777774,3.6708333333333334,MIRAT,63207,0.43673384171906765
