point_id,lat,lon,distance_km,altitude_m,precipitation_mm_h,precipitation_p95_mm_h,temperature_c,windspeed_kmh,humidity_pct,cloudcover_pct
88,45.398091,3.671606,8.7613,829.2,0.1194,0.7,10.9991,9.08,74.9385,63.4
89,45.39798,3.670336,8.8612,821.2,0.1194,0.7,10.9837,9.08,74.9356,63.4
90,45.397884,3.669062,8.9612,815.3,0.1194,0.7,10.9683,9.08,74.9326,63.4
91,45.398086,3.667824,9.0604,816.4,0.1194,0.7,10.953,9.08,74.9296,63.4
92,45.398217,3.666567,9.1596,824.4,0.1194,0.7,10.9377,9.08,74.9267,63.4
93,45.397865,3.665419,9.2574,829.9,0.1194,0.7,10.9227,9.08,74.9237,63.4
94,45.397375,3.664367,9.356,834.0,0.1194,0.7,10.9075,9.08,74.9208,63.4
95,45.397099,3.663156,9.4554,831.9,0.1194,0.7,10.8921,9.08,74.9178,63.4
96,45.397227,3.661889,9.5553,830.6,0.1194,0.7,10.8767,9.08,74.9148,63.4
97,45.397333,3.660623,9.6548,831.0,0.1194,0.7,10.8614,9.08,74.9119,63.4
98,45.397191,3.65936,9.7547,836.8,0.1194,0.7,10.846,9.08,74.9089,63.4
99,45.39709,3.658097,9.854,840.2,0.1194,0.7,10.8307,9.08,74.9059,63.4
100,45.397226,3.656839,9.9534,837.7,0.1194,0.7,10.8153,9.08,74.903,63.4
101,45.397432,3.655599,10.0529,846.0,0.1194,0.7,10.8,9.08,74.9,63.4
102,45.39747,3.654327,10.1523,853.0,0.1192,0.698,10.793,9.0881,74.8822,63.3901
103,45.397308,3.653071,10.252,850.8,0.1189,0.696,10.786,9.0962,74.8644,63.3802
104,45.397075,3.651834,10.352,843.1,0.1187,0.6941,10.7789,9.1043,74.8466,63.3703
105,45.396666,3.6507,10.4515,837.2,0.1185,0.6921,10.7719,9.1124,74.8288,63.3604
106,45.395984,3.6499,10.5497,836.0,0.1182,0.6901,10.765,9.1204,74.8112,63.3507
107,45.39514,3.649499,10.6486,837.7,0.118,0.6882,10.758,9.1285,74.7936,63.3409
108,45.394249,3.649331,10.7485,844.7,0.1178,0.6862,10.751,9.1366,74.7757,63.331
109,45.393364,3.649109,10.8484,844.3,0.1176,0.6842,10.7439,9.1447,74.7579,63.321
110,45.392496,3.648775,10.9484,836.9,0.1173,0.6822,10.7369,9.1529,74.74,63.3111
111,45.391628,3.648436,11.0485,836.1,0.1171,0.6802,10.7298,9.161,74.7221,63.3012
112,45.390814,3.647903,11.1481,842.7,0.1169,0.6783,10.7228,9.1691,74.7043,63.2913
113,45.390022,3.647296,11.2481,839.8,0.1166,0.6763,10.7158,9.1773,74.6865,63.2814
114,45.389191,3.646807,11.3481,838.2,0.1164,0.6743,10.7087,9.1854,74.6686,63.2715
115,45.388356,3.646333,11.4481,841.5,0.1162,0.6723,10.7017,9.1935,74.6508,63.2615
116,45.387521,3.645858,11.5481,840.3,0.1159,0.6703,10.6946,9.2017,74.6329,63.2516
117,45.386676,3.645419,11.6481,838.7,0.1157,0.6683,10.6876,9.2098,74.615,63.2417
118,45.385804,3.645118,11.7479,842.1,0.1155,0.6664,10.6806,9.2179,74.5972,63.2318
119,45.384911,3.644972,11.8478,844.6,0.1152,0.6644,10.6735,9.2261,74.5793,63.2219
