point_id,longitude,latitude
83,3.5494831,45.7034991
84,3.5505529,45.7034738
85,3.5516194,45.7034061
86,3.5526555,45.7031655
87,3.5535911,45.7026691
88,3.5544465,45.7020259
89,3.5552822,45.7013578
90,3.5561072,45.7006762
91,3.5570324,45.7001626
92,3.5580610,45.6998854
93,3.5591277,45.6998290
94,3.5601878,45.6999355
95,3.5611966,45.7002917
96,3.5621818,45.7007064
97,3.5632205,45.7009262
98,3.5642894,45.7009260
99,3.5653558,45.7008409
100,3.5664192,45.7007215
101,3.5674851,45.7006306
102,3.5685535,45.7005693
103,3.5696151,45.7006819
104,3.5706670,45.7008764
105,3.5717338,45.7009588
106,3.5727939,45.7008277
107,3.5738398,45.7006029
108,3.5748886,45.7003948
109,3.5759492,45.7002521
110,3.5770151,45.7001631
111,3.5780809,45.7001438
112,3.5791141,45.7004037
113,3.5800719,45.7008621
114,3.5809098,45.7015258
115,3.5817728,45.7021487
116,3.5827743,45.7025138
117,3.5838257,45.7026983
118,3.5848951,45.7026937
119,3.5859600,45.7025873
120,3.5870231,45.7024646
121,3.5880783,45.7022959
122,3.5890785,45.7019258
123,3.5899556,45.7013279
124,3.5905357,45.7004403
125,3.5906085,45.6993884
126,3.5903114,45.6983612
127,3.5900339,45.6973302
128,3.5900018,45.6962657
129,3.5900552,45.6951984
130,3.5904277,45.6942170
131,3.5910722,45.6933657
132,3.5919623,45.6927844
133,3.5929625,45.6924099
134,3.5940103,45.6921920
135,3.5950779,45.6921296
136,3.5961467,45.6920791
137,3.5972164,45.6920533
138,3.5982772,45.6919319
139,3.5993078,45.6916460
140,3.6003259,45.6913160
141,3.6013717,45.6910946
142,3.6024355,45.6909893
143,3.6035027,45.6910200
144,3.6045659,45.6911415
145,3.6056304,45.6912426
146,3.6066964,45.6911820
147,3.6077326,45.6909175
148,3.6086825,45.6904351
149,3.6095130,45.6897662
150,3.6100489,45.6888478
151,3.6102610,45.6878096
152,3.6100346,45.6867751
153,3.6095707,45.6858112
154,3.6091304,45.6848433
155,3.6092353,45.6837959
156,3.6099067,45.6829882
157,3.6108426,45.6824891
158,3.6118827,45.6822426
159,3.6129300,45.6820264
160,3.6139608,45.6817389
161,3.6150039,45.6815037
162,3.6160513,45.6812852
163,3.6170550,45.6809349
164,3.6179639,45.6803726
165,3.6187440,45.6796433
166,3.6194875,45.6788818
167,3.6204207,45.6783739
168,3.6214550,45.6781162
169,3.6225216,45.6780724
170,3.6235836,45.6781651
171,3.6246336,45.6783718
172,3.6256844,45.6785747
173,3.6267381,45.6787613
174,3.6278049,45.6788164
175,3.6288596,45.6786497
176,3.6298530,45.6782537
177,3.6306912,45.6776034
178,3.6312478,45.6767056
179,3.6316182,45.6757051
180,3.6323025,45.6748979
181,3.6332064,45.6743311
182,3.6341807,45.6738920
183,3.6351863,45.6735262
184,3.6361852,45.6731422
185,3.6371785,45.6727440
186,3.6381636,45.6723285
187,3.6389974,45.6716590
188,3.6398008,45.6709520
189,3.6407043,45.6704107
190,3.6417018,45.6700232
191,3.6425665,45.6694213
192,3.6427958,45.6683910
193,3.6431916,45.6674233
194,3.6439179,45.6666383
195,3.6447299,45.6659488
196,3.6456799,45.6654645
197,3.6467194,45.6652215
198,3.6477848,45.6651571
199,3.6488549,45.6651675
200,3.6499138,45.6650279
201,3.6508917,45.6645961
202,3.6517128,45.6639405
203,3.6522737,45.6630292
204,3.6528822,45.6621731
205,3.6537374,45.6615297
206,3.6547093,45.6611006
207,3.6557429,45.6608256
208,3.6567083,45.6603796
209,3.6575146,45.6596849
210,3.6578647,45.6586851
211,3.6578053,45.6576185
212,3.6578837,45.6565603
213,3.6584668,45.6556829
214,3.6593538,45.6550871
215,3.6603204,45.6546489
216,3.6613843,45.6545337
217,3.6624468,45.6544060
218,3.6634869,45.6541816
219,3.6644535,45.6537374
220,3.6652187,45.6530050
221,3.6655223,45.6519989
222,3.6656136,45.6509376
223,3.6655433,45.6498721
224,3.6651656,45.6488863
225,3.6645870,45.6479879
226,3.6641933,45.6470132
